Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
23:01:48,22.99,23.29,0.0,200.0,24.2,99.9,1732.075,1911.34,  INF,1492.562,-0.1,0.072,0.0,0.004:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:02:54
23:04:55,22.93,23.23,0.0,200.0,24.2,99.9,1788.349,1978.723,  INF,1550.427,-0.1,0.072,0.0,0.004:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:06:01
23:08:03,22.75,23.05,0.0,200.0,24.2,99.9,1714.019,1889.796,  INF,1465.041,-0.1,0.072,0.0,0.004:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:09:08
23:11:16,22.71,23.23,0.0,200.0,24.1,99.9,1506.667,1661.818,  INF,1273.381,-0.1,0.074,0.0,0.005:0.000,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:12:21
23:14:23,22.87,23.33,0.0,200.0,24.1,99.9,1465.041,1661.818,  INF,1294.891,-0.1,0.074,0.0,0.005:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:15:28
23:17:30,22.89,23.27,0.0,200.0,24.0,99.9,1645.045,1911.34,  INF,1465.041,-0.1,0.072,0.0,0.004:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:18:36
23:20:37,22.93,23.27,0.0,200.0,24.1,99.9,1911.34,2238.095,  INF,1714.019,-0.1,0.07,0.0,0.003:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:21:43
23:23:48,22.83,23.05,0.0,200.0,24.0,99.9,2267.47,2530.667,  INF,1978.723,-0.1,0.068,0.0,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:24:53
23:26:55,22.63,22.83,0.0,200.0,24.0,99.9,2530.667,2684.507,  INF,2101.124,-0.1,0.068,0.0,0.002:0.000,0.001:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:28:00
23:30:03,22.43,22.59,0.0,200.0,23.9,99.9,2605.479,2725.714,  INF,2127.273,-0.1,0.068,0.0,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:31:08
23:33:11,22.51,22.63,0.0,200.0,23.8,99.9,2605.479,2725.714,  INF,2127.273,-0.1,0.068,0.0,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:34:17
23:36:18,22.41,22.99,0.0,200.0,23.7,99.9,2567.568,2644.445,  INF,2075.556,-0.1,0.068,0.0,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:37:24
23:39:27,22.53,22.89,0.0,200.0,23.6,99.9,2530.667,2605.479,  INF,2075.556,-0.1,0.068,0.0,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:40:32
23:42:34,22.47,22.59,0.0,200.0,23.6,99.9,2530.667,2605.479,  INF,2050.55,-0.1,0.068,0.0,0.002:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,0.000:0.000,23:43:39
