Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
15:46:10,36.57,30.63,0.0,190.0,29.4,70.8,0.196,0.196,8.342,0.196,105.428,10.077,0.209,19.838:0.000,19.838:0.000,19.840:0.000,19.823:0.005,19.599:0.056,18.572:0.231,0.525:0.417,0.438:0.418,0.428:0.418,0.426:0.418,0.425:0.418,0.424:0.418,0.424:0.418,0.424:0.418,0.424:0.419,0.423:0.418,0.423:0.418,0.422:0.417,0.422:0.416,0.420:0.415,15:47:15
15:49:17,35.77,30.57,0.0,190.0,29.4,70.1,0.196,0.196,12.448,0.196,106.407,10.055,0.196,19.788:0.000,19.786:0.000,19.780:0.000,19.757:0.005,19.518:0.056,18.388:0.231,0.456:0.388,0.405:0.388,0.397:0.388,0.394:0.387,0.392:0.386,0.391:0.385,0.389:0.384,0.388:0.382,0.386:0.381,0.386:0.381,0.384:0.380,0.383:0.379,0.383:0.378,0.382:0.377,15:50:22
15:52:24,35.39,30.59,0.0,190.0,29.6,70.4,0.196,0.196,6.452,0.196,105.436,9.964,0.163,19.613:0.000,19.609:0.000,19.607:0.000,19.588:0.005,19.317:0.056,17.795:0.230,0.357:0.322,0.333:0.322,0.328:0.321,0.327:0.321,0.327:0.322,0.327:0.322,0.327:0.323,0.327:0.323,0.327:0.322,0.326:0.321,0.323:0.319,0.322:0.318,0.320:0.317,0.319:0.316,15:53:29
15:55:32,34.99,30.39,0.0,190.0,29.4,70.6,0.196,0.196,6.660,0.196,105.237,9.906,0.141,19.506:0.000,19.501:0.000,19.497:0.000,19.473:0.004,19.166:0.056,17.063:0.229,0.304:0.280,0.290:0.281,0.287:0.281,0.287:0.281,0.286:0.282,0.286:0.282,0.287:0.283,0.286:0.283,0.287:0.283,0.287:0.283,0.287:0.284,0.289:0.286,0.292:0.288,0.294:0.291,15:56:37
15:58:39,33.77,30.19,0.0,190.0,29.3,70.2,0.196,0.196,5.210,0.196,106.905,9.855,0.117,19.407:0.000,19.414:0.000,19.419:0.000,19.395:0.004,19.050:0.055,15.568:0.226,0.260:0.243,0.250:0.243,0.247:0.242,0.245:0.242,0.244:0.241,0.243:0.239,0.241:0.238,0.240:0.237,0.239:0.236,0.238:0.235,0.237:0.234,0.236:0.234,0.236:0.233,0.236:0.233,15:59:44
16:01:46,32.55,29.93,0.0,190.0,29.3,70.4,0.196,0.196,8.342,0.196,106.266,9.884,0.116,19.461:0.000,19.461:0.000,19.461:0.000,19.434:0.004,19.079:0.055,15.006:0.224,0.252:0.235,0.243:0.235,0.240:0.236,0.239:0.236,0.239:0.235,0.237:0.234,0.236:0.233,0.234:0.231,0.232:0.230,0.231:0.228,0.229:0.227,0.228:0.226,0.227:0.224,0.226:0.223,16:02:52
16:04:54,32.47,30.11,0.0,190.0,29.1,71.3,0.196,0.196,7.078,0.196,106.424,9.886,0.112,19.459:0.000,19.464:0.000,19.468:0.000,19.442:0.004,19.087:0.054,14.466:0.223,0.248:0.231,0.240:0.232,0.237:0.233,0.236:0.233,0.236:0.232,0.235:0.231,0.233:0.231,0.233:0.230,0.232:0.229,0.232:0.229,0.232:0.230,0.233:0.230,0.232:0.230,0.232:0.230,16:05:59
16:08:01,31.41,29.77,0.0,190.0,29.0,71.6,0.196,0.196,7.287,0.196,106.557,9.906,0.113,19.510:0.000,19.507:0.000,19.502:0.000,19.470:0.004,19.100:0.054,12.165:0.219,0.238:0.222,0.229:0.222,0.227:0.222,0.226:0.222,0.225:0.222,0.226:0.223,0.226:0.223,0.227:0.225,0.229:0.226,0.231:0.228,0.232:0.229,0.232:0.229,0.232:0.229,0.232:0.229,16:09:06
16:11:09,31.99,29.91,0.0,190.0,28.9,71.9,0.196,0.196,7.078,0.196,106.432,9.857,0.101,19.383:0.000,19.378:0.000,19.376:0.000,19.344:0.004,18.940:0.053,0.874:0.201,0.214:0.201,0.206:0.200,0.203:0.199,0.201:0.199,0.201:0.198,0.200:0.197,0.200:0.197,0.199:0.197,0.199:0.197,0.199:0.197,0.199:0.197,0.199:0.197,0.199:0.197,0.198:0.197,16:12:14
16:14:16,31.19,29.77,0.0,190.0,29.0,73.5,0.196,0.196,6.660,0.196,106.548,9.762,0.084,19.184:0.000,19.183:0.000,19.179:0.000,19.142:0.004,18.648:0.052,0.236:0.165,0.175:0.165,0.170:0.165,0.168:0.166,0.168:0.166,0.168:0.166,0.168:0.166,0.168:0.166,0.168:0.166,0.167:0.166,0.167:0.166,0.167:0.166,0.167:0.166,0.167:0.166,0.167:0.166,16:15:21
