Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
16:23:03,32.81,32.61,0.0,190.0,34.2,74.4,0.391,0.588,  INF,0.391,223.091,8.578,0.017,16.977:0.000,16.970:0.000,16.948:0.000,16.641:0.006,0.066:0.033,0.037:0.033,0.034:0.033,0.032:0.033,0.032:0.032,0.032:0.032,0.032:0.032,0.032:0.032,0.032:0.032,0.032:0.032,0.032:0.031,0.032:0.031,0.031:0.031,0.031:0.031,0.031:0.031,0.031:0.031,16:24:08
16:26:11,31.19,31.47,0.0,190.0,33.6,76.4,0.588,0.784,  INF,0.588,226.727,8.279,0.011,16.287:0.000,16.273:0.000,16.232:0.000,15.609:0.005,0.036:0.020,0.022:0.020,0.020:0.020,0.019:0.020,0.019:0.020,0.019:0.020,0.019:0.019,0.019:0.019,0.019:0.019,0.019:0.019,0.019:0.019,0.019:0.019,0.018:0.019,0.018:0.018,0.018:0.018,0.018:0.018,16:27:16
16:29:19,25.87,26.29,3.25,200.0,32.5,80.7,0.588,0.981,4351.111,0.784,234.712,8.108,0.006,15.834:0.000,15.826:0.000,15.774:0.000,14.553:0.005,0.024:0.014,0.015:0.013,0.014:0.013,0.013:0.013,0.013:0.013,0.013:0.013,0.013:0.013,0.013:0.013,0.013:0.013,0.013:0.013,0.012:0.013,0.013:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,16:30:24
16:32:28,23.81,24.87,4.0,190.0,30.0,98.0,0.784,1.179,4920.000,0.981,252.551,7.879,0.006,15.401:0.000,15.407:0.000,15.348:0.000,13.816:0.004,0.019:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.010:0.011,0.011:0.011,0.011:0.011,0.010:0.011,0.010:0.011,0.011:0.011,16:33:33
16:35:36,23.05,24.39,2.5,200.0,27.4,99.9,0.784,1.377,6006.061,0.981,261.059,7.883,0.005,15.171:0.000,15.166:0.000,15.103:0.000,13.518:0.004,0.017:0.010,0.011:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.010:0.010,0.009:0.010,0.010:0.010,16:36:41
16:38:44,22.99,23.69,2.875,190.0,25.6,99.9,0.784,1.377,5189.474,1.179,271.452,7.763,0.004,14.905:0.000,14.895:0.000,14.827:0.000,13.197:0.004,0.016:0.009,0.010:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,0.008:0.009,16:39:49
16:41:52,22.71,23.81,4.125,200.0,23.7,99.9,0.784,1.377,4795.122,1.179,278.267,7.644,0.005,14.703:0.000,14.697:0.000,14.619:0.000,12.993:0.003,0.015:0.008,0.009:0.008,0.008:0.008,0.008:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.008:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,16:42:58
16:45:00,22.71,23.35,0.125,190.0,22.9,99.9,0.981,1.773,5823.529,1.377,286.559,7.281,0.003,13.837:0.000,13.815:0.000,13.720:0.000,11.439:0.003,0.011:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.006,16:46:06
16:48:10,22.93,23.71,4.875,190.0,22.9,99.9,0.981,1.773,6006.061,1.377,295.184,7.268,0.003,13.816:0.000,13.831:0.000,13.779:0.000,11.743:0.003,0.012:0.006,0.006:0.006,0.006:0.006,0.006:0.007,0.006:0.006,0.006:0.006,0.006:0.006,0.006:0.007,0.006:0.007,0.006:0.007,0.006:0.007,0.006:0.007,0.006:0.007,0.006:0.007,0.006:0.007,0.006:0.007,16:49:15
16:51:18,22.01,21.95,4.875,200.0,22.8,99.9,0.784,1.377,5051.282,1.179,296.313,7.774,0.005,14.880:0.000,14.905:0.000,14.868:0.000,13.690:0.003,0.018:0.009,0.009:0.009,0.009:0.009,0.009:0.009,0.008:0.009,0.008:0.009,0.009:0.009,0.008:0.009,0.009:0.009,0.009:0.009,0.009:0.009,0.009:0.009,0.008:0.009,0.009:0.009,0.009:0.009,0.009:0.009,16:52:24
16:54:26,21.85,22.75,1.125,200.0,21.9,99.9,0.588,1.179,6406.452,0.981,296.313,8.019,0.005,15.306:0.000,15.300:0.000,15.258:0.000,14.306:0.003,0.021:0.010,0.011:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.009:0.010,0.009:0.010,0.010:0.010,16:55:32
16:57:35,21.97,21.73,0.5,200.0,22.6,99.9,0.588,1.179,6862.069,0.981,301.335,8.077,0.005,15.431:0.000,15.433:0.000,15.406:0.000,14.565:0.002,0.022:0.010,0.011:0.010,0.011:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.011:0.010,0.010:0.010,0.011:0.010,0.010:0.010,0.010:0.010,0.010:0.011,16:58:40
17:00:43,21.51,22.07,0.125,200.0,22.2,99.9,0.588,0.981,5823.529,0.981,304.223,8.209,0.006,15.703:0.000,15.703:0.000,15.677:0.000,14.972:0.002,0.025:0.011,0.012:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,17:01:48
17:03:51,22.13,21.71,1.0,200.0,22.3,99.9,0.588,0.981,7992.000,0.784,302.073,8.306,0.007,15.880:0.000,15.876:0.000,15.856:0.000,15.237:0.002,0.027:0.012,0.013:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,17:04:57
17:07:00,21.49,21.85,0.0,200.0,22.3,99.9,0.588,0.981,11177.778,0.784,301.027,8.506,0.007,16.263:0.000,16.263:0.000,16.243:0.000,15.777:0.002,0.033:0.014,0.015:0.014,0.015:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,17:08:05
17:10:09,21.57,22.05,0.125,200.0,22.0,99.9,0.588,0.981,13453.334,0.784,300.189,8.559,0.008,16.378:0.000,16.375:0.000,16.357:0.000,15.930:0.002,0.036:0.015,0.016:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.014:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,17:11:14
17:13:18,21.63,21.83,1.25,200.0,22.1,99.9,0.588,0.981,10578.947,0.784,298.512,8.537,0.008,16.322:0.000,16.318:0.000,16.297:0.000,15.858:0.002,0.035:0.014,0.016:0.014,0.015:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.015:0.014,0.014:0.014,0.015:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,17:14:24
17:16:25,22.29,22.11,0.375,190.0,22.2,99.9,0.588,0.981,9109.091,0.784,300.504,8.403,0.007,16.030:0.000,16.023:0.000,15.998:0.000,15.466:0.002,0.031:0.013,0.015:0.013,0.013:0.013,0.012:0.013,0.013:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,0.012:0.013,17:17:31
17:19:34,22.13,22.37,0.25,200.0,22.2,99.9,0.588,0.981,6862.069,0.784,299.309,8.361,0.006,15.923:0.000,15.921:0.000,15.897:0.000,15.342:0.002,0.029:0.012,0.014:0.012,0.013:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.013,0.012:0.013,0.012:0.012,0.012:0.013,0.012:0.013,0.012:0.013,17:20:39
17:22:42,21.85,21.83,0.0,200.0,22.2,99.9,0.588,0.981,6406.452,0.784,297.989,8.45,0.007,16.107:0.000,16.109:0.000,16.090:0.000,15.606:0.002,0.032:0.014,0.015:0.013,0.014:0.013,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,17:23:48
17:25:52,21.57,22.29,0.125,190.0,22.3,99.9,0.588,0.981,7676.923,0.784,296.819,8.543,0.008,16.310:0.000,16.308:0.000,16.291:0.000,15.868:0.002,0.036:0.014,0.016:0.015,0.015:0.015,0.015:0.014,0.015:0.014,0.015:0.014,0.014:0.014,0.014:0.014,0.015:0.015,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,17:26:58
17:29:01,21.97,22.13,0.0,200.0,22.4,99.9,0.588,0.981,6406.452,0.784,297.915,8.508,0.008,16.232:0.000,16.225:0.000,16.202:0.000,15.745:0.002,0.033:0.014,0.015:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.014:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.014:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,0.013:0.014,17:30:06
17:32:09,21.77,21.97,0.0,200.0,22.4,99.9,0.588,0.981,6406.452,0.784,298.587,8.382,0.007,15.955:0.000,15.946:0.000,15.918:0.000,15.362:0.002,0.029:0.012,0.014:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.011:0.012,0.012:0.012,0.011:0.012,0.011:0.012,0.012:0.012,0.011:0.012,17:33:14
17:35:18,21.77,22.11,0.0,200.0,22.4,99.9,0.588,1.179,7385.185,0.981,298.662,8.229,0.006,15.578:0.000,15.567:0.000,15.532:0.000,14.829:0.002,0.024:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.011:0.011,0.010:0.011,0.011:0.011,0.010:0.010,0.010:0.010,0.010:0.011,0.010:0.010,0.011:0.010,0.011:0.010,0.011:0.010,17:36:23
