Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
16:38:45,31.77,31.67,0.0,190.0,32.0,67.7,0.196,0.196,  INF,0.196,235.908,9.459,0.053,18.628:0.000,18.628:0.000,18.623:0.000,18.558:0.005,17.551:0.057,0.126:0.106,0.110:0.106,0.108:0.106,0.107:0.106,0.107:0.106,0.107:0.106,0.106:0.105,0.106:0.106,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,16:39:50
16:41:53,31.61,31.35,0.0,190.0,31.8,67.1,0.196,0.196,  INF,0.196,236.605,9.413,0.049,18.558:0.000,18.557:0.000,18.553:0.000,18.484:0.005,17.359:0.056,0.116:0.098,0.102:0.098,0.100:0.098,0.100:0.098,0.099:0.098,0.099:0.098,0.099:0.098,0.099:0.098,0.099:0.098,0.099:0.098,0.098:0.098,0.098:0.098,0.099:0.098,0.098:0.098,0.098:0.098,16:42:58
16:45:01,31.41,31.43,0.0,190.0,31.6,66.7,0.196,0.196,  INF,0.196,237.601,9.395,0.049,18.542:0.000,18.541:0.000,18.537:0.000,18.468:0.005,17.308:0.056,0.114:0.096,0.100:0.096,0.098:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.095,0.097:0.095,0.096:0.095,16:46:07
16:48:09,31.25,31.11,0.0,190.0,31.6,66.7,0.196,0.196,  INF,0.196,237.958,9.38,0.047,18.506:0.000,18.504:0.000,18.500:0.000,18.429:0.005,17.195:0.055,0.108:0.092,0.097:0.092,0.094:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,0.093:0.092,16:49:15
16:51:18,31.29,31.19,0.0,190.0,31.7,66.8,0.196,0.196,  INF,0.196,238.381,9.341,0.044,18.440:0.000,18.439:0.000,18.433:0.000,18.357:0.005,16.987:0.055,0.102:0.087,0.091:0.087,0.089:0.087,0.089:0.087,0.089:0.087,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,0.089:0.088,16:52:23
16:54:26,31.01,30.79,0.0,200.0,31.5,68.0,0.196,0.196,  INF,0.196,238.904,9.314,0.042,18.381:0.000,18.381:0.000,18.376:0.000,18.296:0.005,16.764:0.055,0.096:0.082,0.085:0.082,0.084:0.082,0.084:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,0.083:0.082,16:55:31
16:57:35,30.87,30.87,0.0,200.0,31.3,68.8,0.196,0.196,  INF,0.196,239.643,9.331,0.042,18.426:0.000,18.427:0.000,18.424:0.000,18.347:0.004,16.914:0.055,0.098:0.085,0.089:0.085,0.086:0.085,0.086:0.085,0.086:0.085,0.086:0.085,0.085:0.085,0.086:0.085,0.086:0.085,0.085:0.085,0.086:0.085,0.086:0.085,0.086:0.085,0.086:0.085,0.086:0.086,16:58:40
17:00:43,30.73,30.67,0.0,190.0,31.3,69.4,0.196,0.196,  INF,0.196,241.536,9.358,0.044,18.477:0.000,18.476:0.000,18.472:0.000,18.397:0.004,17.051:0.054,0.102:0.087,0.091:0.087,0.089:0.087,0.089:0.087,0.088:0.087,0.088:0.087,0.088:0.087,0.087:0.086,0.087:0.086,0.087:0.086,0.087:0.086,0.087:0.086,0.087:0.086,0.087:0.086,0.087:0.086,17:01:48
17:03:51,30.63,30.71,0.0,190.0,31.1,70.0,0.196,0.196,  INF,0.196,242.739,9.287,0.04,18.348:0.000,18.347:0.000,18.341:0.000,18.256:0.004,16.581:0.054,0.090:0.078,0.081:0.078,0.080:0.078,0.079:0.078,0.079:0.078,0.079:0.078,0.079:0.078,0.079:0.078,0.078:0.078,0.078:0.078,0.078:0.078,0.078:0.077,0.078:0.077,0.078:0.077,0.078:0.077,17:04:56
17:06:59,30.45,30.43,0.0,200.0,31.1,70.0,0.196,0.196,  INF,0.196,242.133,9.275,0.038,18.308:0.000,18.307:0.000,18.302:0.000,18.216:0.004,16.382:0.054,0.086:0.075,0.078:0.075,0.076:0.075,0.076:0.075,0.076:0.075,0.075:0.074,0.075:0.074,0.075:0.074,0.075:0.074,0.074:0.073,0.074:0.073,0.073:0.073,0.073:0.073,0.073:0.073,0.073:0.072,17:08:05
