Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
16:34:02,31.55,30.51,0.0,190.0,29.8,88.2,0.196,0.196,  INF,0.196,316.591,9.582,0.068,18.914:0.000,18.913:0.000,18.909:0.000,18.865:0.004,18.222:0.052,0.169:0.133,0.139:0.132,0.136:0.132,0.135:0.132,0.134:0.132,0.134:0.132,0.133:0.132,0.133:0.132,0.133:0.132,0.133:0.132,0.133:0.132,0.133:0.132,0.132:0.131,0.132:0.131,0.132:0.131,16:35:07
16:37:10,31.39,30.43,0.0,200.0,30.0,87.8,0.196,0.196,  INF,0.196,318.65,9.551,0.065,18.846:0.000,18.845:0.000,18.842:0.000,18.797:0.004,18.106:0.052,0.158:0.126,0.132:0.126,0.128:0.126,0.128:0.125,0.128:0.125,0.127:0.125,0.127:0.125,0.127:0.125,0.127:0.125,0.127:0.125,0.127:0.125,0.127:0.125,0.127:0.126,0.127:0.126,0.127:0.126,16:38:15
16:40:16,30.77,29.69,0.0,190.0,30.1,88.3,0.196,0.196,  INF,0.196,322.336,9.62,0.069,18.959:0.000,18.951:0.000,18.945:0.000,18.903:0.004,18.269:0.052,0.170:0.133,0.141:0.133,0.136:0.133,0.134:0.132,0.133:0.132,0.133:0.131,0.132:0.131,0.132:0.131,0.132:0.131,0.132:0.131,0.132:0.131,0.132:0.131,0.132:0.131,0.132:0.131,0.132:0.131,16:41:22
16:43:24,31.21,30.31,0.0,190.0,30.1,88.0,0.196,0.196,  INF,0.196,324.527,9.568,0.064,18.870:0.000,18.863:0.000,18.854:0.000,18.801:0.004,18.079:0.052,0.151:0.122,0.128:0.122,0.123:0.121,0.123:0.121,0.122:0.120,0.121:0.120,0.122:0.120,0.121:0.120,0.121:0.120,0.121:0.119,0.121:0.120,0.120:0.119,0.120:0.119,0.120:0.119,0.120:0.119,16:44:30
16:46:33,30.79,30.19,0.0,190.0,30.7,87.2,0.196,0.196,  INF,0.196,326.087,9.566,0.063,18.876:0.000,18.881:0.000,18.883:0.000,18.841:0.004,18.164:0.052,0.160:0.127,0.135:0.128,0.132:0.129,0.132:0.129,0.131:0.129,0.130:0.129,0.130:0.128,0.129:0.128,0.128:0.127,0.128:0.127,0.127:0.126,0.127:0.126,0.126:0.125,0.126:0.125,0.126:0.125,16:47:38
16:49:42,31.27,31.11,0.0,200.0,30.7,86.9,0.196,0.196,  INF,0.196,328.379,9.698,0.079,19.122:0.000,19.119:0.000,19.116:0.000,19.078:0.004,18.541:0.052,0.210:0.154,0.163:0.155,0.158:0.155,0.157:0.155,0.157:0.154,0.156:0.154,0.156:0.154,0.155:0.153,0.154:0.153,0.154:0.152,0.154:0.152,0.152:0.151,0.152:0.150,0.149:0.148,0.148:0.147,16:50:47
16:52:50,31.11,30.33,0.0,190.0,31.6,85.2,0.196,0.196,  INF,0.196,329.391,9.578,0.064,18.877:0.000,18.874:0.000,18.867:0.000,18.815:0.004,18.106:0.053,0.156:0.125,0.132:0.125,0.128:0.125,0.127:0.125,0.126:0.125,0.126:0.125,0.126:0.125,0.126:0.125,0.126:0.125,0.126:0.125,0.126:0.125,0.126:0.125,0.127:0.125,0.127:0.125,0.127:0.126,16:53:55
16:55:58,31.43,30.87,0.0,190.0,31.4,83.9,0.196,0.196,  INF,0.196,329.582,9.644,0.073,19.013:0.000,19.014:0.000,19.016:0.000,18.979:0.004,18.400:0.053,0.193:0.146,0.156:0.148,0.153:0.149,0.153:0.150,0.154:0.152,0.155:0.154,0.157:0.155,0.158:0.157,0.160:0.159,0.162:0.161,0.163:0.162,0.165:0.163,0.166:0.164,0.167:0.165,0.167:0.166,16:57:04
16:59:06,31.71,30.99,0.0,190.0,31.8,83.1,0.196,0.196,  INF,0.196,328.843,9.646,0.076,19.027:0.000,19.026:0.000,19.023:0.000,18.979:0.004,18.399:0.053,0.194:0.148,0.155:0.147,0.149:0.146,0.148:0.145,0.146:0.144,0.145:0.144,0.145:0.143,0.145:0.143,0.145:0.143,0.145:0.143,0.145:0.143,0.145:0.143,0.144:0.142,0.144:0.142,0.143:0.142,17:00:12
17:02:15,31.21,30.11,0.0,190.0,32.2,81.3,0.196,0.196,  INF,0.196,325.963,9.615,0.07,18.924:0.000,18.922:0.000,18.919:0.000,18.874:0.004,18.225:0.053,0.172:0.136,0.143:0.136,0.139:0.136,0.138:0.135,0.137:0.135,0.137:0.135,0.137:0.135,0.136:0.135,0.136:0.135,0.136:0.135,0.136:0.135,0.136:0.135,0.136:0.135,0.136:0.135,0.136:0.135,17:03:20
17:05:23,31.47,30.31,0.0,190.0,31.2,81.1,0.196,0.196,  INF,0.196,322.377,9.582,0.065,18.874:0.000,18.872:0.000,18.870:0.000,18.822:0.004,18.122:0.053,0.160:0.128,0.135:0.128,0.131:0.128,0.130:0.128,0.129:0.128,0.129:0.127,0.129:0.127,0.128:0.127,0.128:0.127,0.128:0.127,0.128:0.127,0.128:0.126,0.128:0.126,0.128:0.126,0.127:0.126,17:06:29
17:08:31,30.85,29.83,0.0,190.0,30.7,83.7,0.196,0.196,  INF,0.196,319.82,9.535,0.059,18.770:0.000,18.771:0.000,18.766:0.000,18.712:0.004,17.895:0.053,0.139:0.114,0.119:0.114,0.116:0.114,0.115:0.114,0.115:0.114,0.115:0.113,0.115:0.113,0.115:0.113,0.114:0.113,0.114:0.113,0.114:0.113,0.114:0.113,0.113:0.112,0.113:0.112,0.113:0.112,17:09:37
17:11:40,30.81,29.83,0.0,190.0,30.2,84.9,0.196,0.196,  INF,0.196,318.509,9.481,0.053,18.684:0.000,18.682:0.000,18.678:0.000,18.620:0.004,17.699:0.053,0.127:0.105,0.110:0.105,0.107:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.105,0.106:0.104,0.105:0.104,0.106:0.104,0.105:0.104,0.105:0.104,17:12:45
17:14:48,30.53,29.57,0.0,190.0,30.0,85.6,0.196,0.196,  INF,0.196,318.177,9.446,0.051,18.600:0.000,18.598:0.000,18.593:0.000,18.528:0.004,17.474:0.052,0.115:0.097,0.101:0.096,0.098:0.096,0.097:0.096,0.097:0.096,0.097:0.096,0.097:0.095,0.096:0.095,0.096:0.095,0.096:0.095,0.096:0.095,0.095:0.095,0.095:0.094,0.095:0.094,0.095:0.094,17:15:53
17:17:56,30.25,29.49,0.0,190.0,29.8,86.4,0.196,0.196,  INF,0.196,317.413,9.351,0.043,18.423:0.000,18.420:0.000,18.413:0.000,18.338:0.004,16.929:0.052,0.095:0.082,0.084:0.082,0.083:0.082,0.082:0.081,0.082:0.081,0.081:0.081,0.081:0.081,0.081:0.081,0.081:0.080,0.081:0.080,0.080:0.080,0.080:0.080,0.080:0.080,0.080:0.079,0.080:0.079,17:19:02
17:21:05,30.05,29.31,0.0,190.0,29.5,87.3,0.196,0.196,  INF,0.196,314.964,9.254,0.036,18.251:0.000,18.249:0.000,18.242:0.000,18.156:0.004,16.229:0.052,0.082:0.071,0.074:0.071,0.072:0.071,0.071:0.071,0.071:0.071,0.071:0.070,0.071:0.070,0.071:0.070,0.071:0.070,0.070:0.070,0.071:0.070,0.070:0.070,0.070:0.070,0.070:0.069,0.070:0.069,17:22:10
17:24:13,29.59,28.97,0.0,190.0,29.4,87.8,0.196,0.391,  INF,0.391,318.434,9.186,0.032,18.112:0.000,18.109:0.000,18.102:0.000,18.002:0.004,15.266:0.051,0.071:0.062,0.065:0.062,0.063:0.062,0.063:0.062,0.063:0.062,0.063:0.062,0.063:0.062,0.062:0.062,0.062:0.062,0.062:0.062,0.062:0.061,0.062:0.061,0.061:0.061,0.062:0.061,0.061:0.061,17:25:18
17:27:21,29.43,28.89,0.0,190.0,29.2,89.1,0.196,0.391,  INF,0.391,318.7,9.083,0.027,17.909:0.000,17.906:0.000,17.897:0.000,17.775:0.004,12.032:0.050,0.060:0.053,0.054:0.053,0.054:0.053,0.053:0.053,0.053:0.053,0.053:0.053,0.053:0.052,0.052:0.052,0.052:0.052,0.052:0.052,0.052:0.052,0.052:0.052,0.052:0.052,0.052:0.052,0.052:0.051,17:28:27
17:30:30,29.17,28.47,0.0,190.0,29.1,90.1,0.391,0.391,  INF,0.391,319.098,8.966,0.023,17.681:0.000,17.678:0.000,17.668:0.000,17.520:0.004,0.294:0.045,0.050:0.044,0.045:0.044,0.045:0.044,0.044:0.044,0.045:0.044,0.044:0.044,0.044:0.044,0.044:0.044,0.044:0.043,0.044:0.043,0.043:0.043,0.043:0.043,0.043:0.043,0.043:0.043,0.043:0.043,17:31:35
17:33:38,28.75,28.43,0.0,200.0,28.9,90.0,0.391,0.391,  INF,0.391,319.721,8.832,0.018,17.407:0.000,17.404:0.000,17.391:0.000,17.200:0.004,0.106:0.036,0.041:0.036,0.037:0.036,0.037:0.036,0.036:0.036,0.036:0.036,0.036:0.036,0.036:0.036,0.036:0.035,0.036:0.035,0.036:0.035,0.035:0.035,0.035:0.035,0.035:0.035,0.035:0.035,0.035:0.035,17:34:43
17:36:46,28.37,28.07,0.0,190.0,28.7,90.1,0.391,0.588,  INF,0.588,319.654,8.698,0.015,17.120:0.000,17.115:0.000,17.099:0.000,16.855:0.004,0.071:0.030,0.033:0.030,0.031:0.030,0.030:0.030,0.030:0.030,0.029:0.030,0.029:0.029,0.029:0.029,0.029:0.029,0.029:0.029,0.029:0.029,0.029:0.029,0.029:0.029,0.029:0.029,0.029:0.029,0.028:0.029,17:37:52
