Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
15:22:58,43.51,40.13,0.0,190.0,36.2,66.7,0.196,0.196,  INF,0.196,274.191,9.842,0.257,19.542:0.000,19.526:0.000,19.507:0.000,19.485:0.006,19.244:0.065,18.338:0.249,8.723:0.505,0.538:0.509,0.497:0.484,0.422:0.413,0.329:0.323,0.276:0.272,0.275:0.272,0.292:0.288,0.271:0.267,0.249:0.245,0.253:0.251,0.253:0.250,0.253:0.250,0.266:0.263,15:24:03
15:26:06,41.17,37.71,0.0,190.0,37.5,63.3,0.196,0.196,  INF,0.196,273.485,9.671,0.174,19.188:0.000,19.186:0.000,19.154:0.000,19.105:0.006,18.783:0.065,17.064:0.246,0.348:0.319,0.312:0.301,0.284:0.278,0.264:0.259,0.249:0.246,0.249:0.245,0.262:0.258,0.282:0.278,0.297:0.294,0.301:0.297,0.289:0.286,0.270:0.267,0.258:0.255,0.249:0.247,15:27:11
15:29:15,40.91,38.17,0.0,190.0,36.3,62.9,0.196,0.196,  INF,0.196,270.431,9.896,0.238,19.666:0.000,19.664:0.000,19.661:0.000,19.637:0.006,19.399:0.064,18.450:0.247,2.434:0.480,0.508:0.482,0.496:0.482,0.492:0.482,0.491:0.482,0.490:0.482,0.489:0.482,0.489:0.482,0.488:0.481,0.488:0.481,0.488:0.481,0.487:0.481,0.487:0.481,0.487:0.481,15:30:20
15:32:23,41.47,38.25,0.0,190.0,36.5,64.7,0.196,0.196,  INF,0.196,270.049,9.813,0.226,19.539:0.000,19.537:0.000,19.533:0.000,19.507:0.006,19.261:0.064,18.242:0.247,0.628:0.455,0.479:0.455,0.467:0.455,0.464:0.454,0.462:0.454,0.461:0.454,0.460:0.453,0.459:0.452,0.458:0.452,0.458:0.452,0.457:0.451,0.457:0.452,0.457:0.451,0.457:0.451,15:33:28
15:35:33,41.63,38.85,0.125,190.0,37.4,62.2,0.196,0.196,  INF,0.196,270.356,9.758,0.211,19.427:0.000,19.429:0.000,19.429:0.000,19.411:0.006,19.158:0.064,18.055:0.247,0.520:0.427,0.448:0.428,0.439:0.428,0.436:0.428,0.435:0.428,0.434:0.427,0.433:0.427,0.433:0.427,0.432:0.426,0.432:0.426,0.431:0.426,0.431:0.425,0.430:0.424,0.429:0.423,15:36:38
15:38:42,40.71,36.97,0.0,190.0,38.1,61.1,0.196,0.196,  INF,0.196,266.836,9.747,0.197,19.444:0.000,19.444:0.000,19.441:0.000,19.414:0.006,19.143:0.064,17.938:0.247,0.469:0.403,0.422:0.404,0.414:0.405,0.413:0.405,0.412:0.406,0.412:0.406,0.413:0.406,0.412:0.406,0.412:0.407,0.413:0.407,0.412:0.406,0.412:0.407,0.412:0.406,0.411:0.406,15:39:47
15:41:50,40.91,37.49,0.0,190.0,37.2,61.2,0.196,0.196,  INF,0.196,265.234,9.737,0.191,19.407:0.000,19.407:0.000,19.408:0.000,19.384:0.006,19.110:0.065,17.862:0.248,0.452:0.393,0.410:0.393,0.403:0.393,0.401:0.393,0.400:0.393,0.399:0.393,0.398:0.393,0.399:0.393,0.398:0.393,0.398:0.393,0.397:0.392,0.397:0.392,0.396:0.392,0.396:0.392,15:42:55
15:44:58,40.83,38.27,0.0,190.0,38.0,60.4,0.196,0.196,  INF,0.196,263.508,9.708,0.189,19.384:0.000,19.383:0.000,19.383:0.000,19.356:0.006,19.073:0.065,17.788:0.248,0.440:0.386,0.402:0.386,0.396:0.386,0.393:0.385,0.392:0.385,0.391:0.385,0.390:0.384,0.389:0.384,0.390:0.384,0.390:0.384,0.389:0.385,0.389:0.385,0.389:0.384,0.389:0.385,15:46:03
15:48:06,40.29,38.03,0.0,190.0,38.1,59.4,0.196,0.196,  INF,0.196,263.367,9.698,0.185,19.373:0.000,19.373:0.000,19.372:0.000,19.346:0.006,19.057:0.065,17.705:0.249,0.422:0.375,0.391:0.376,0.384:0.375,0.383:0.376,0.382:0.376,0.382:0.376,0.381:0.376,0.381:0.376,0.381:0.376,0.381:0.376,0.381:0.376,0.380:0.376,0.381:0.376,0.380:0.376,15:49:12
15:51:15,39.81,37.33,0.0,190.0,38.3,59.4,0.196,0.196,  INF,0.196,265.342,9.708,0.181,19.411:0.000,19.411:0.000,19.410:0.000,19.382:0.006,19.085:0.066,17.667:0.249,0.409:0.365,0.380:0.366,0.375:0.366,0.373:0.366,0.372:0.365,0.371:0.365,0.370:0.366,0.370:0.365,0.370:0.365,0.370:0.365,0.369:0.365,0.370:0.365,0.369:0.364,0.369:0.364,15:52:20
